;   
;  IMD Data
;   
;  Saved on Wed Aug 27 15:25:28 2025
;   
;  Structure: 
;   
;  [Ti/C] multilayer, N=10, d=173.00 A, Gamma=0.312
;      Ti layer (1), rho=4.550 g/cm3, z=54.00 A, sigma[Ti]=4.00 A
;      C layer (2), rho=2.200 g/cm3, z=119.00 A, sigma=4.00 A
;  Si substrate, rho=2.330 g/cm3
;   
;  
;   
;  Theta=0.400 deg
;   
;  E [eV] 	R
       6570.0000      0.097504297
       6580.0000      0.085970429
       6590.0000      0.074862128
       6600.0000      0.065478218
       6610.0000      0.059448597
       6620.0000      0.058681671
       6630.0000      0.065154357
       6640.0000      0.080604970
       6650.0000       0.10612348
       6660.0000       0.14176794
       6670.0000       0.18636646
       6680.0000       0.23763433
       6690.0000       0.29260184
       6700.0000       0.34818591
       6710.0000       0.40170725
       6720.0000       0.45121515
       6730.0000       0.49555012
       6740.0000       0.53424139
       6750.0000       0.56732538
       6760.0000       0.59516029
       6770.0000       0.61827787
       6780.0000       0.63725490
       6790.0000       0.65267546
       6800.0000       0.66508496
       6810.0000       0.67495952
       6820.0000       0.68271017
       6830.0000       0.68868468
       6840.0000       0.69317447
       6850.0000       0.69642168
       6860.0000       0.69862555
       6870.0000       0.69993363
       6880.0000       0.70049250
       6890.0000       0.70042163
       6900.0000       0.69981311
       6910.0000       0.69874257
       6920.0000       0.69727274
       6930.0000       0.69545483
       6940.0000       0.69333113
       6950.0000       0.69093638
       6960.0000       0.68827710
       6970.0000       0.68539206
       6980.0000       0.68230513
       6990.0000       0.67903263
       7000.0000       0.67558653
       7010.0000       0.67197638
       7020.0000       0.66820942
       7030.0000       0.66429100
       7040.0000       0.66022469
       7050.0000       0.65599259
       7060.0000       0.65160637
       7070.0000       0.64707387
       7080.0000       0.64239330
       7090.0000       0.63756201
       7100.0000       0.63257694
       7110.0000       0.62743374
       7120.0000       0.62212698
       7130.0000       0.61665107
       7140.0000       0.61098219
       7150.0000       0.60511194
       7160.0000       0.59904842
       7170.0000       0.59278245
       7180.0000       0.58630406
       7190.0000       0.57960249
       7200.0000       0.57266603
       7210.0000       0.56548247
       7220.0000       0.55803891
       7230.0000       0.55031811
       7240.0000       0.54227765
       7250.0000       0.53393266
       7260.0000       0.52526716
       7270.0000       0.51626536
       7280.0000       0.50691045
       7290.0000       0.49718570
       7300.0000       0.48707446
       7310.0000       0.47656054
       7320.0000       0.46562844
       7330.0000       0.45423720
       7340.0000       0.44238991
       7350.0000       0.43008855
       7360.0000       0.41732802
       7370.0000       0.40410815
       7380.0000       0.39043427
       7390.0000       0.37632018
       7400.0000       0.36178909
       7410.0000       0.34687488
       7420.0000       0.33162182
       7430.0000       0.31606483
       7440.0000       0.30031672
       7450.0000       0.28447571
       7460.0000       0.26865894
       7470.0000       0.25300221
       7480.0000       0.23765791
       7490.0000       0.22279270
       7500.0000       0.20858202
       7510.0000       0.19520350
       7520.0000       0.18282206
       7530.0000       0.17159355
       7540.0000       0.16165886
       7550.0000       0.15311209
       7560.0000       0.14600400
       7570.0000       0.14033612
       7580.0000       0.13605967
       7590.0000       0.13307719
       7600.0000       0.13124816
       7610.0000       0.13039751
       7620.0000       0.13032571
       7630.0000       0.13082082
       7640.0000       0.13166914
       7650.0000       0.13266497
       7660.0000       0.13361903
       7670.0000       0.13436427
       7680.0000       0.13475965
       7690.0000       0.13469216
       7700.0000       0.13407695
       7710.0000       0.13285659
       7720.0000       0.13099453
       7730.0000       0.12848482
       7740.0000       0.12534341
       7750.0000       0.12160334
       7760.0000       0.11731467
       7770.0000       0.11254211
       7780.0000       0.10736274
       7790.0000       0.10186419
       7800.0000      0.096142149
       7810.0000      0.090298376
       7820.0000      0.084434747
       7830.0000      0.078659726
       7840.0000      0.073080906
       7850.0000      0.067798827
       7860.0000      0.062906806
       7870.0000      0.058488041
       7880.0000      0.054613059
       7890.0000      0.051337386
       7900.0000      0.048699711
       7910.0000      0.046720659
       7920.0000      0.045402343
       7930.0000      0.044728951
       7940.0000      0.044666045
       7950.0000      0.045163236
       7960.0000      0.046156390
       7970.0000      0.047570206
       7980.0000      0.049321194
       7990.0000      0.051320766
       8000.0000      0.053478197
       8010.0000      0.055703516
       8020.0000      0.057910062
       8030.0000      0.060016332
       8040.0000      0.061948092
       8050.0000      0.063640134
       8060.0000      0.065036962
       8070.0000      0.066093520
       8080.0000      0.066775365
       8090.0000      0.067058765
       8100.0000      0.066930590
       8110.0000      0.066387876
       8120.0000      0.065437412
       8130.0000      0.064093204
       8140.0000      0.062380187
       8150.0000      0.060331891
       8160.0000      0.057987538
       8170.0000      0.055392296
       8180.0000      0.052596423
       8190.0000      0.049654153
       8200.0000      0.046622530
       8210.0000      0.043560301
       8220.0000      0.040526584
       8230.0000      0.037579548
       8240.0000      0.034773972
       8250.0000      0.032163853
       8260.0000      0.029796610
       8270.0000      0.027713557
       8280.0000      0.025948843
       8290.0000      0.024528571
       8300.0000      0.023470142
       8310.0000      0.022781878
       8320.0000      0.022462898
       8330.0000      0.022503198
       8340.0000      0.022884322
       8350.0000      0.023580233
       8360.0000      0.024556802
       8370.0000      0.025774535
       8380.0000      0.027189275
       8390.0000      0.028753554
       8400.0000      0.030417925
       8410.0000      0.032132298
       8420.0000      0.033847187
       8430.0000      0.035514871
       8440.0000      0.037090434
       8450.0000      0.038532478
       8460.0000      0.039803782
       8470.0000      0.040872794
       8480.0000      0.041713234
       8490.0000      0.042304581
       8500.0000      0.042632270
       8510.0000      0.042687747
       8520.0000      0.042468427
       8530.0000      0.041977554
       8540.0000      0.041223986
       8550.0000      0.040221897
       8560.0000      0.038989968
       8570.0000      0.037551288
       8580.0000      0.035934631
       8590.0000      0.034171188
       8600.0000      0.032294963
       8610.0000      0.030342146
       8620.0000      0.028350377
       8630.0000      0.026357953
       8640.0000      0.024403059
       8650.0000      0.022522958
       8660.0000      0.020753160
       8670.0000      0.019126596
       8680.0000      0.017672757
       8690.0000      0.016417864
       8700.0000      0.015383022
       8710.0000      0.014584241
       8720.0000      0.014032091
       8730.0000      0.013731490
       8740.0000      0.013681575
       8750.0000      0.013875830
       8760.0000      0.014302321
       8770.0000      0.014944052
       8780.0000      0.015779493
       8790.0000      0.016783454
       8800.0000      0.017926919
       8810.0000      0.019178581
       8820.0000      0.020505529
       8830.0000      0.021873969
       8840.0000      0.023250000
       8850.0000      0.024600367
       8860.0000      0.025893148
       8870.0000      0.027098373
       8880.0000      0.028188625
       8890.0000      0.029139480
       8900.0000      0.029929734
       8910.0000      0.030541725
       8920.0000      0.030962392
       8930.0000      0.031182428
       8940.0000      0.031196688
       8950.0000      0.031004196
       8960.0000      0.030608079
       8970.0000      0.030015476
       8980.0000      0.029237315
       8990.0000      0.028288111
       9000.0000      0.027185667
       9010.0000      0.025950738
       9020.0000      0.024606031
       9030.0000      0.023177450
       9040.0000      0.021692375
       9050.0000      0.020179041
       9060.0000      0.018666258
       9070.0000      0.017182836
       9080.0000      0.015757003
       9090.0000      0.014415810
       9100.0000      0.013184563
       9110.0000      0.012086260
       9120.0000      0.011141095
       9130.0000      0.010365992
       9140.0000     0.0097743337
       9150.0000     0.0093754503
       9160.0000     0.0091744970
       9170.0000     0.0091723334
       9180.0000     0.0093655688
       9190.0000     0.0097466605
       9200.0000      0.010304111
       9210.0000      0.011022786
       9220.0000      0.011884294
       9230.0000      0.012867439
       9240.0000      0.013948747
       9250.0000      0.015103012
       9260.0000      0.016303872
       9270.0000      0.017524264
       9280.0000      0.018737248
       9290.0000      0.019916445
       9300.0000      0.021036551
       9310.0000      0.022073810
       9320.0000      0.023006468
       9330.0000      0.023815126
       9340.0000      0.024483054
       9350.0000      0.024996457
       9360.0000      0.025344675
       9370.0000      0.025520322
       9380.0000      0.025518859
       9390.0000      0.025340085
       9400.0000      0.024986834
       9410.0000      0.024465194
       9420.0000      0.023784437
       9430.0000      0.022956857
       9440.0000      0.021997552
       9450.0000      0.020924164
       9460.0000      0.019756565
       9470.0000      0.018516533
       9480.0000      0.017227348
       9490.0000      0.015913369
       9500.0000      0.014599378
       9510.0000      0.013310680
       9520.0000      0.012072240
       9530.0000      0.010908013
       9540.0000     0.0098406123
       9550.0000     0.0088908252
       9560.0000     0.0080771583
       9570.0000     0.0074154284
       9580.0000     0.0069183999
       9590.0000     0.0065954826
       9600.0000     0.0064525207
       9610.0000     0.0064916461
       9620.0000     0.0067112559
       9630.0000     0.0071060801
       9640.0000     0.0076669746
       9650.0000     0.0083815355
       9660.0000     0.0092342550
       9670.0000      0.010206866
       9680.0000      0.011278762
       9690.0000      0.012427454
       9700.0000      0.013629059
       9710.0000      0.014858805
       9720.0000      0.016091552
       9730.0000      0.017302281
       9740.0000      0.018466602
       9750.0000      0.019560981
       9760.0000      0.020563623
       9770.0000      0.021454672
       9780.0000      0.022216431
       9790.0000      0.022833730
       9800.0000      0.023294166
       9810.0000      0.023588276
       9820.0000      0.023709722
       9830.0000      0.023655343
       9840.0000      0.023425249
       9850.0000      0.023022776
       9860.0000      0.022454484
       9870.0000      0.021730024
       9880.0000      0.020862036
       9890.0000      0.019865944
       9900.0000      0.018759716
       9910.0000      0.017563131
       9920.0000      0.016298955
       9930.0000      0.014991041
       9940.0000      0.013664391
       9950.0000      0.012344746
       9960.0000      0.011058110
       9970.0000     0.0098302521
       9980.0000     0.0086861966
       9990.0000     0.0076497025
